1		Chassis	STRUCTURE GROUND
2	J5-36	In	0 VDC IMU
3	J5-44	In	0 VDC IMU
4		NC	
5		Spare	
6		Spare	
7		Spare	
8		Spare	
9	J19-D14	In	800 CPS 28V 5 PCT PHASE A
10	J19-G15	Out	800 CPS 28V 5 PCT PHASE B TP
11	J5-12	In	+28 VDC IMU OPERATE
12	J5-20	In	+28 VDC IMU OPERATE
13	J19-F12, J13-14, J19-F13	In	800 CPS 28V 5 PCT COMMON
14	J19-F14, J13-13, J19-F11	In	800 CPS 28V 5 PCT COMMON
15	J19-G12, J13-16, J19-G13	Out	800 CPS 28V 5 PCT PHASE B
16	J19-G14, J13-15, J19-G11	Out	800 CPS 28V 5 PCT PHASE B
